,ward,wardcode,totalhouseholds,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p,car0,car0p,car1,car1p,car2,car2p,car3,car3p,nodis,nodisp,onedis,onedisp,twodis,twodisp,heat0,heat0p,heat1,heat1p,heatnore2,heatnore2p,heatrenew2,heatrenew2p,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
132,Waterhead,E05000737,"5,184",588,11.3,"2,128",41.1,"1,836",35.4,629,12.1,"1,074",20.7,"1,872",36.1,"1,745",33.7,371,7.2,121,2.3,"1,755",33.8,"2,086",40.2,"1,048",20.2,296,5.7,"3,306",63.8,"1,458",28.1,419,8.1,69,1.3,105,2.0,488,9.4,9,0.2,"2,834",54.7,35,0.7,"1,178",22.7,"1,122",21.6,16,0.3,834,15.7,"1,117",21.0,792,14.9,506,9.5,142,2.7,55,1.0,40,0.8,52,1.0,"1,700",32.0,437,8.2,"1,263",23.8,"3,607",68.0,"3,195",60.2,412,7.8
133,Werneth,E05000738,"4,122",350,8.5,"1,455",35.3,"1,233",29.9,"1,082",26.3,661,16.0,"1,207",29.3,"1,443",35.0,580,14.1,232,5.6,"1,276",31.0,"1,703",41.3,833,20.2,310,7.5,"2,560",62.1,"1,157",28.1,406,9.8,70,1.7,139,3.4,452,11.0,14,0.3,"2,085",50.6,18,0.4,"1,066",25.9,896,21.7,56,1.4,865,18.8,591,12.9,724,15.8,403,8.8,93,2.0,79,1.7,67,1.5,51,1.1,"1,969",42.9,585,12.7,"1,384",30.1,"2,623",57.1,"2,411",52.5,212,4.6
134,Balderstone & Kirkholt,E05014033,"4,537",551,12.1,"1,578",34.8,"1,846",40.7,562,12.4,"1,067",23.5,"1,508",33.2,"1,622",35.8,292,6.4,48,1.1,"1,448",31.9,"1,832",40.4,"1,001",22.1,256,5.6,"2,811",62.0,"1,367",30.1,359,7.9,55,1.2,77,1.7,436,9.6,6,0.1,"2,297",50.6,7,0.2,"1,598",35.2,614,13.5,20,0.4,600,12.9,"1,078",23.2,706,15.2,510,11.0,130,2.8,31,0.7,31,0.7,61,1.3,"1,349",29.1,366,7.9,983,21.2,"3,293",70.9,"2,899",62.5,394,8.5
135,Bamford,E05014034,"4,218",231,5.5,"1,091",25.9,"1,521",36.1,"1,375",32.6,"1,921",45.5,"1,390",33.0,769,18.2,112,2.7,26,0.6,733,17.4,"1,680",39.8,"1,337",31.7,468,11.1,"2,816",66.8,"1,085",25.7,317,7.5,45,1.1,30,0.7,298,7.1,13,0.3,"3,237",76.7,15,0.4,314,7.4,641,15.2,11,0.3,371,8.5,851,19.5,540,12.4,491,11.3,130,3.0,49,1.1,57,1.3,66,1.5,"1,350",31.0,415,9.5,935,21.4,"3,009",69.0,"2,557",58.7,452,10.4
136,Castleton,E05014035,"4,384",443,10.1,"1,425",32.5,"1,857",42.4,659,15.0,"1,312",29.9,"1,590",36.3,"1,308",29.8,137,3.1,37,0.8,"1,157",26.4,"1,911",43.6,"1,055",24.1,262,6.0,"2,745",62.6,"1,279",29.2,360,8.2,52,1.2,40,0.9,395,9.0,12,0.3,"2,730",62.3,19,0.4,726,16.6,907,20.7,3,0.1,440,9.8,"1,027",22.8,704,15.7,407,9.1,98,2.2,41,0.9,32,0.7,27,0.6,"1,322",29.4,372,8.3,950,21.1,"3,175",70.6,"2,810",62.5,365,8.1
137,Central Rochdale,E05014036,"4,258",553,13.0,"1,773",41.6,"1,270",29.8,663,15.6,564,13.2,"1,354",31.8,"1,669",39.2,482,11.3,189,4.4,"1,574",37.0,"1,815",42.6,662,15.5,207,4.9,"2,627",61.7,"1,278",30.0,353,8.3,79,1.9,106,2.5,425,10.0,10,0.2,"1,908",44.8,10,0.2,894,21.0,"1,438",33.8,9,0.2,"1,025",23.9,633,14.7,486,11.3,488,11.4,205,4.8,59,1.4,29,0.7,44,1.0,"1,668",38.8,474,11.0,"1,194",27.8,"2,626",61.2,"2,391",55.7,235,5.5
138,East Middleton,E05014037,"4,949",609,12.3,"1,691",34.2,"2,192",44.3,457,9.2,"1,316",26.6,"1,892",38.2,"1,549",31.3,171,3.5,21,0.4,"1,276",25.8,"2,335",47.2,"1,063",21.5,275,5.6,"3,199",64.6,"1,388",28.0,362,7.3,74,1.5,48,1.0,426,8.6,1,0.0,"3,040",61.4,16,0.3,950,19.2,937,18.9,8,0.2,609,12.0,767,15.1,"1,082",21.3,401,7.9,96,1.9,45,0.9,30,0.6,50,1.0,"1,313",25.9,384,7.6,929,18.3,"3,757",74.1,"3,359",66.3,398,7.9
139,Healey,E05014038,"4,215",302,7.2,"1,154",27.4,"1,821",43.2,938,22.3,"1,540",36.6,"1,581",37.5,937,22.2,129,3.1,26,0.6,756,17.9,"1,849",43.9,"1,240",29.4,370,8.8,"2,738",65.0,"1,126",26.7,351,8.3,44,1.0,40,0.9,376,8.9,14,0.3,"3,000",71.2,3,0.1,483,11.5,721,17.1,9,0.2,656,14.3,820,17.9,543,11.9,560,12.2,145,3.2,38,0.8,28,0.6,46,1.0,"1,417",31.0,427,9.3,990,21.6,"3,157",69.0,"2,729",59.7,428,9.4
140,Hopwood Hall,E05014039,"4,610",540,11.7,"1,247",27.0,"1,986",43.1,837,18.2,"1,567",34.0,"1,541",33.4,"1,324",28.7,162,3.5,17,0.4,"1,120",24.3,"1,934",42.0,"1,196",25.9,360,7.8,"2,978",64.6,"1,334",28.9,298,6.5,56,1.2,57,1.2,393,8.5,11,0.2,"2,863",62.1,56,1.2,964,20.9,720,15.6,6,0.1,527,10.7,721,14.6,"1,037",21.0,495,10.0,110,2.2,50,1.0,46,0.9,58,1.2,"1,280",25.9,378,7.7,902,18.3,"3,657",74.1,"3,185",64.5,472,9.6
141,Kingsway (Rochdale),E05014040,"4,118",399,9.7,"1,070",26.0,"1,987",48.3,662,16.1,996,24.2,"1,314",31.9,"1,369",33.2,335,8.1,104,2.5,"1,190",28.9,"1,742",42.3,900,21.9,286,6.9,"2,550",61.9,"1,174",28.5,396,9.6,52,1.3,94,2.3,385,9.4,18,0.4,"2,199",53.4,11,0.3,"1,084",26.3,817,19.8,7,0.2,970,21.7,536,12.0,543,12.1,441,9.9,166,3.7,59,1.3,42,0.9,48,1.1,"1,562",35.0,464,10.4,"1,098",24.6,"2,907",65.0,"2,605",58.3,302,6.8
142,Littleborough Lakeside,E05014041,"4,259",325,7.6,"1,278",30.0,"1,958",46.0,698,16.4,"1,664",39.1,"1,637",38.4,889,20.9,66,1.5,3,0.1,802,18.8,"1,933",45.4,"1,201",28.2,323,7.6,"2,836",66.6,"1,113",26.1,310,7.3,31,0.7,20,0.5,406,9.5,13,0.3,"3,054",71.7,6,0.1,340,8.0,859,20.2,0,0.0,491,10.8,513,11.3,558,12.3,707,15.6,262,5.8,79,1.7,28,0.6,33,0.7,"1,191",26.3,343,7.6,848,18.7,"3,345",73.7,"2,889",63.7,456,10.1
143,Milkstone & Deeplish,E05014042,"3,721",468,12.6,"1,313",35.3,"1,259",33.8,681,18.3,524,14.1,"1,029",27.7,"1,464",39.3,498,13.4,206,5.5,"1,410",37.9,"1,493",40.1,585,15.7,234,6.3,"2,286",61.4,"1,054",28.3,381,10.2,84,2.3,103,2.8,412,11.1,13,0.3,"1,584",42.6,7,0.2,999,26.8,"1,109",29.8,23,0.6,943,24.8,466,12.3,455,12.0,391,10.3,118,3.1,47,1.2,26,0.7,47,1.2,"1,567",41.3,446,11.8,"1,121",29.5,"2,228",58.7,"2,054",54.1,174,4.6
144,Milnrow & Newhey,E05014043,"4,719",354,7.5,"1,495",31.7,"2,094",44.4,778,16.5,"1,690",35.8,"1,903",40.3,"1,042",22.1,76,1.6,9,0.2,857,18.2,"2,120",44.9,"1,337",28.3,407,8.6,"3,041",64.4,"1,323",28.0,358,7.6,46,1.0,23,0.5,369,7.8,12,0.3,"3,311",70.2,13,0.3,533,11.3,859,18.2,2,0.0,406,8.0,854,16.9,828,16.4,612,12.1,201,4.0,56,1.1,31,0.6,40,0.8,"1,279",25.3,378,7.5,901,17.8,"3,772",74.7,"3,324",65.8,448,8.9
145,Norden (Rochdale),E05014044,"4,049",126,3.1,903,22.3,"1,645",40.6,"1,375",34.0,"2,008",49.6,"1,484",36.7,494,12.2,56,1.4,7,0.2,339,8.4,"1,492",36.8,"1,672",41.3,546,13.5,"3,006",74.2,822,20.3,221,5.5,29,0.7,17,0.4,326,8.1,16,0.4,"3,420",84.4,6,0.1,94,2.3,529,13.1,2,0.0,237,4.8,877,17.9,686,14.0,625,12.8,178,3.6,72,1.5,45,0.9,33,0.7,"1,250",25.6,437,8.9,813,16.6,"3,639",74.4,"3,118",63.8,521,10.7
146,North Heywood,E05014045,"5,116",772,15.1,"1,942",38.0,"1,898",37.1,504,9.9,"1,178",23.0,"1,886",36.9,"1,819",35.6,209,4.1,24,0.5,"1,710",33.4,"2,166",42.3,996,19.5,244,4.8,"3,253",63.6,"1,487",29.1,376,7.3,91,1.8,51,1.0,444,8.7,7,0.1,"2,483",48.5,15,0.3,"1,341",26.2,"1,261",24.6,16,0.3,704,14.0,887,17.7,921,18.3,510,10.2,152,3.0,38,0.8,34,0.7,71,1.4,"1,351",26.9,399,7.9,952,19.0,"3,670",73.1,"3,249",64.7,421,8.4
147,North Middleton,E05014046,"5,144",466,9.1,"1,672",32.5,"2,518",49.0,488,9.5,"1,453",28.2,"1,941",37.7,"1,519",29.5,211,4.1,20,0.4,"1,474",28.7,"2,221",43.2,"1,184",23.0,265,5.2,"3,235",62.9,"1,485",28.9,424,8.2,73,1.4,49,1.0,440,8.6,8,0.2,"3,187",62.0,21,0.4,974,18.9,952,18.5,10,0.2,723,13.2,865,15.8,"1,179",21.5,531,9.7,110,2.0,43,0.8,32,0.6,50,0.9,"1,518",27.7,417,7.6,"1,101",20.1,"3,960",72.3,"3,536",64.5,424,7.7
148,Smallbridge & Firgrove,E05014047,"4,711",788,16.7,"1,331",28.3,"2,044",43.4,548,11.6,941,20.0,"1,534",32.6,"1,836",39.0,336,7.1,64,1.4,"1,627",34.6,"2,001",42.5,848,18.0,232,4.9,"2,756",58.5,"1,549",32.9,406,8.6,60,1.3,92,2.0,485,10.3,12,0.3,"2,121",45.0,38,0.8,"1,797",38.1,744,15.8,11,0.2,744,16.8,993,22.4,506,11.4,486,11.0,174,3.9,64,1.4,28,0.6,39,0.9,"1,366",30.8,375,8.5,991,22.4,"3,064",69.2,"2,738",61.8,326,7.4
149,South Middleton,E05014048,"4,717",419,8.9,843,17.9,"2,510",53.2,945,20.0,"1,948",41.3,"1,587",33.6,"1,036",22.0,130,2.8,16,0.3,"1,032",21.9,"1,942",41.2,"1,387",29.4,356,7.5,"3,102",65.8,"1,290",27.3,325,6.9,55,1.2,35,0.7,351,7.4,18,0.4,"3,416",72.4,18,0.4,702,14.9,572,12.1,7,0.1,389,7.6,711,13.9,"1,208",23.5,406,7.9,84,1.6,53,1.0,38,0.7,60,1.2,"1,328",25.9,406,7.9,922,18.0,"3,802",74.1,"3,347",65.2,455,8.9
150,Spotland & Falinge,E05014049,"4,810",797,16.6,"1,550",32.2,"1,953",40.6,510,10.6,"1,021",21.2,"1,553",32.3,"1,849",38.4,297,6.2,89,1.9,"1,677",34.9,"1,948",40.5,916,19.0,269,5.6,"2,897",60.2,"1,512",31.4,401,8.3,67,1.4,91,1.9,405,8.4,10,0.2,"2,312",48.1,15,0.3,"1,483",30.8,967,20.1,31,0.6,764,16.9,796,17.6,632,14.0,486,10.7,134,3.0,55,1.2,50,1.1,36,0.8,"1,543",34.1,439,9.7,"1,104",24.4,"2,986",65.9,"2,678",59.1,308,6.8
151,"Wardle, Shore & West Littleborough",E05014050,"4,301",217,5.0,"1,013",23.6,"2,080",48.4,990,23.0,"1,865",43.4,"1,596",37.1,772,17.9,56,1.3,12,0.3,600,14.0,"1,862",43.3,"1,438",33.4,401,9.3,"2,987",69.5,"1,040",24.2,273,6.3,40,0.9,20,0.5,342,7.9,6,0.1,"3,360",78.1,22,0.5,298,6.9,621,14.4,0,0.0,535,10.4,865,16.9,580,11.3,745,14.5,257,5.0,48,0.9,23,0.4,42,0.8,"1,309",25.6,366,7.1,943,18.4,"3,813",74.4,"3,286",64.2,527,10.3
152,West Heywood,E05014051,"5,121",402,7.9,"1,829",35.7,"2,507",49.0,383,7.5,"1,336",26.1,"1,970",38.5,"1,609",31.4,188,3.7,18,0.4,"1,471",28.7,"2,241",43.8,"1,151",22.5,258,5.0,"3,200",62.5,"1,460",28.5,461,9.0,58,1.1,60,1.2,471,9.2,19,0.4,"2,851",55.7,20,0.4,"1,506",29.4,739,14.4,6,0.1,859,16.2,914,17.2,893,16.8,616,11.6,147,2.8,49,0.9,35,0.7,57,1.1,"1,426",26.8,388,7.3,"1,038",19.5,"3,887",73.2,"3,475",65.4,412,7.8
153,West Middleton,E05014052,"4,264",255,6.0,"1,252",29.4,"2,314",54.3,443,10.4,"1,178",27.6,"1,654",38.8,"1,216",28.5,183,4.3,34,0.8,"1,443",33.8,"1,755",41.2,899,21.1,166,3.9,"2,590",60.7,"1,277",29.9,397,9.3,53,1.2,62,1.5,382,9.0,32,0.8,"2,009",47.1,24,0.6,"1,737",40.7,490,11.5,4,0.1,375,8.7,679,15.7,"1,007",23.3,484,11.2,100,2.3,50,1.2,31,0.7,53,1.2,"1,187",27.5,348,8.0,839,19.4,"3,136",72.5,"2,818",65.2,318,7.4
154,Barton & Winton,E05013018,"7,126",970,13.6,"2,725",38.3,"2,933",41.2,496,7.0,"1,703",23.9,"2,641",37.1,"2,449",34.4,289,4.1,44,0.6,"2,463",34.6,"3,147",44.2,"1,245",17.5,272,3.8,"4,674",65.6,"1,997",28.0,455,6.4,131,1.8,104,1.5,633,8.9,28,0.4,"3,273",45.9,66,0.9,"2,267",31.8,"1,497",21.0,22,0.3,"1,158",15.1,"1,421",18.5,"1,126",14.7,625,8.1,114,1.5,46,0.6,47,0.6,82,1.1,"1,998",26.0,613,8.0,"1,385",18.0,"5,681",74.0,"5,113",66.6,568,7.4
155,Blackfriars & Trinity,E05013019,"5,885","1,893",32.2,"3,194",54.3,713,12.1,85,1.4,318,5.4,"2,118",36.0,"3,258",55.4,180,3.1,12,0.2,"3,335",56.7,"2,107",35.8,396,6.7,47,0.8,"4,736",80.5,989,16.8,161,2.7,224,3.8,55,0.9,197,3.3,21,0.4,"1,045",17.8,19,0.3,"1,090",18.5,"3,725",63.3,6,0.1,"1,357",18.9,775,10.8,411,5.7,504,7.0,89,1.2,84,1.2,65,0.9,59,0.8,"1,296",18.1,495,6.9,801,11.2,"5,881",81.9,"5,232",72.9,649,9.0
156,Boothstown & Ellenbrook,E05013020,"5,169",116,2.2,931,18.0,"2,305",44.6,"1,818",35.2,"2,777",53.7,"1,737",33.6,597,11.5,50,1.0,8,0.2,506,9.8,"2,038",39.4,"2,053",39.7,573,11.1,"3,771",73.0,"1,134",21.9,264,5.1,28,0.5,12,0.2,352,6.8,28,0.5,"4,373",84.6,20,0.4,222,4.3,552,10.7,2,0.0,229,3.7,473,7.6,"1,105",17.9,913,14.7,192,3.1,95,1.5,52,0.8,58,0.9,"1,566",25.3,515,8.3,"1,051",17.0,"4,624",74.7,"3,863",62.4,761,12.3
157,Broughton (Salford),E05013021,"6,227","1,305",21.0,"2,049",32.9,"1,827",29.3,"1,046",16.8,"1,049",16.8,"1,865",30.0,"2,645",42.5,574,9.2,94,1.5,"3,010",48.4,"2,537",40.8,558,9.0,120,1.9,"4,080",65.5,"1,718",27.6,429,6.9,117,1.9,149,2.4,543,8.7,17,0.3,"1,307",21.0,42,0.7,"2,894",46.5,"1,953",31.4,31,0.5,"1,395",22.4,"1,254",20.2,622,10.0,488,7.8,86,1.4,30,0.5,55,0.9,71,1.1,"2,651",42.6,700,11.3,"1,951",31.4,"3,571",57.4,"3,182",51.1,389,6.3
158,Cadishead & Lower Irlam,E05013022,"5,228",424,8.1,"1,305",25.0,"2,827",54.1,672,12.9,"1,864",35.7,"1,895",36.2,"1,318",25.2,130,2.5,21,0.4,"1,112",21.3,"2,260",43.2,"1,438",27.5,418,8.0,"3,395",64.9,"1,420",27.2,413,7.9,67,1.3,41,0.8,428,8.2,18,0.3,"3,335",63.8,11,0.2,"1,044",20.0,825,15.8,11,0.2,800,13.7,340,5.8,"1,012",17.3,"1,068",18.3,158,2.7,63,1.1,30,0.5,58,1.0,"1,446",24.7,453,7.7,993,17.0,"4,404",75.3,"3,874",66.2,530,9.1
159,Claremont (Salford),E05013023,"5,520",424,7.7,"1,070",19.4,"3,242",58.7,784,14.2,"2,165",39.2,"1,841",33.4,"1,339",24.3,146,2.6,29,0.5,"1,340",24.3,"2,551",46.2,"1,288",23.3,338,6.1,"3,723",67.4,"1,444",26.2,353,6.4,69,1.3,40,0.7,413,7.5,13,0.2,"3,731",67.6,44,0.8,746,13.5,987,17.9,11,0.2,880,13.2,"1,388",20.8,736,11.0,526,7.9,144,2.2,38,0.6,55,0.8,54,0.8,"1,680",25.2,527,7.9,"1,153",17.3,"4,990",74.8,"4,514",67.7,476,7.1
160,Eccles,E05013024,"6,755","1,353",20.0,"2,095",31.0,"2,060",30.5,"1,247",18.5,"2,008",29.7,"2,321",34.4,"2,179",32.3,199,2.9,48,0.7,"2,201",32.6,"2,806",41.5,"1,390",20.6,358,5.3,"4,484",66.4,"1,846",27.3,424,6.3,109,1.6,89,1.3,495,7.3,25,0.4,"3,436",50.9,29,0.4,"1,668",24.7,"1,596",23.6,27,0.4,958,13.4,"1,039",14.5,872,12.2,551,7.7,132,1.8,55,0.8,64,0.9,52,0.7,"1,697",23.8,553,7.7,"1,144",16.0,"5,448",76.2,"4,823",67.5,625,8.7
161,Higher Irlam & Peel Green,E05013025,"5,878",405,6.9,"1,559",26.5,"3,431",58.4,483,8.2,"1,834",31.2,"2,158",36.7,"1,648",28.0,211,3.6,27,0.5,"1,553",26.4,"2,661",45.3,"1,331",22.6,333,5.7,"3,618",61.6,"1,703",29.0,557,9.5,63,1.1,54,0.9,513,8.7,36,0.6,"3,268",55.6,28,0.5,"1,628",27.7,942,16.0,12,0.2,694,10.9,"1,072",16.8,"1,234",19.4,744,11.7,140,2.2,43,0.7,43,0.7,45,0.7,"1,791",28.1,483,7.6,"1,308",20.5,"4,583",71.9,"4,060",63.7,523,8.2
162,Kersal & Broughton Park,E05013026,"5,305",843,15.9,"1,510",28.5,"1,503",28.3,"1,449",27.3,"1,484",28.0,"1,631",30.7,"1,765",33.3,312,5.9,113,2.1,"1,754",33.1,"2,307",43.5,964,18.2,280,5.3,"3,626",68.4,"1,333",25.1,346,6.5,95,1.8,63,1.2,310,5.8,7,0.1,"2,478",46.7,25,0.5,"1,119",21.1,"1,677",31.6,7,0.1,"1,698",26.4,"1,066",16.6,682,10.6,358,5.6,73,1.1,34,0.5,54,0.8,78,1.2,"3,146",48.9,928,14.4,"2,218",34.5,"3,287",51.1,"2,866",44.6,421,6.5
163,Little Hulton,E05013027,"5,718",590,10.3,"1,861",32.5,"2,830",49.5,437,7.6,"1,216",21.3,"1,866",32.6,"2,236",39.1,363,6.3,40,0.7,"2,018",35.3,"2,489",43.5,987,17.3,226,4.0,"3,156",55.2,"1,828",32.0,734,12.8,55,1.0,90,1.6,540,9.4,29,0.5,"2,035",35.6,44,0.8,"2,804",49.0,803,14.0,32,0.6,649,12.3,605,11.5,"1,001",19.0,879,16.7,185,3.5,37,0.7,24,0.5,79,1.5,"1,736",32.9,510,9.7,"1,226",23.2,"3,543",67.1,"3,157",59.8,386,7.3
164,Ordsall,E05013028,"4,944","1,160",23.5,"2,519",50.9,"1,040",21.0,226,4.6,443,9.0,"1,764",35.7,"2,438",49.3,264,5.3,34,0.7,"2,436",49.3,"2,032",41.1,420,8.5,55,1.1,"3,529",71.4,"1,184",23.9,232,4.7,120,2.4,90,1.8,351,7.1,17,0.3,961,19.4,12,0.2,"1,776",35.9,"2,180",44.1,15,0.3,"1,006",17.8,956,16.9,407,7.2,390,6.9,74,1.3,48,0.8,60,1.1,80,1.4,"1,291",22.8,445,7.9,846,15.0,"4,360",77.2,"3,937",69.7,423,7.5
165,Pendlebury & Clifton,E05013029,"5,769",618,10.7,"2,224",38.5,"2,336",40.5,593,10.3,"1,446",25.1,"2,223",38.5,"1,835",31.8,241,4.2,24,0.4,"1,647",28.5,"2,599",45.1,"1,225",21.2,298,5.2,"3,718",64.4,"1,624",28.2,427,7.4,76,1.3,68,1.2,483,8.4,20,0.3,"3,085",53.4,37,0.6,"1,557",27.0,"1,075",18.6,18,0.3,562,9.2,"1,031",16.9,"1,187",19.5,512,8.4,126,2.1,54,0.9,33,0.5,58,1.0,"1,666",27.4,456,7.5,"1,210",19.9,"4,419",72.6,"3,954",65.0,465,7.6
166,Pendleton & Charlestown,E05013030,"6,453","1,150",17.8,"3,186",49.4,"1,599",24.8,519,8.0,868,13.4,"2,398",37.2,"2,740",42.5,366,5.7,82,1.3,"3,332",51.6,"2,427",37.6,584,9.0,111,1.7,"3,922",60.8,"2,057",31.9,475,7.4,147,2.3,151,2.3,522,8.1,38,0.6,"1,370",21.2,30,0.5,"3,150",48.8,"1,866",28.9,40,0.6,878,14.1,"1,671",26.7,484,7.7,553,8.9,117,1.9,67,1.1,90,1.4,153,2.4,"2,463",39.4,"1,081",17.3,"1,382",22.1,"3,787",60.6,"3,437",55.0,350,5.6
167,Quays,E05013031,"5,139","1,785",34.7,"2,801",54.5,497,9.7,56,1.1,168,3.3,"1,826",35.5,"2,973",57.9,155,3.0,16,0.3,"2,344",45.6,"2,210",43.0,542,10.5,43,0.8,"4,328",84.2,704,13.7,107,2.1,206,4.0,42,0.8,118,2.3,11,0.2,791,15.4,7,0.1,309,6.0,"4,030",78.4,5,0.1,681,9.8,"1,179",17.0,473,6.8,486,7.0,122,1.8,65,0.9,76,1.1,72,1.0,"1,084",15.6,440,6.3,644,9.3,"5,856",84.4,"5,163",74.4,693,10.0
168,Swinton & Wardley,E05013032,"5,513",398,7.2,"1,943",35.3,"2,782",50.5,388,7.0,"1,585",28.7,"2,263",41.0,"1,472",26.7,171,3.1,23,0.4,"1,456",26.4,"2,590",47.0,"1,220",22.1,247,4.5,"3,588",65.0,"1,544",28.0,384,7.0,73,1.3,62,1.1,428,7.8,8,0.1,"3,444",62.5,13,0.2,929,16.9,"1,116",20.2,10,0.2,656,10.9,938,15.6,"1,173",19.5,510,8.5,95,1.6,47,0.8,38,0.6,33,0.5,"1,563",26.0,523,8.7,"1,040",17.3,"4,438",74.0,"4,010",66.8,428,7.1
169,Swinton Park,E05013033,"5,374",273,5.1,"1,271",23.7,"3,117",58.0,713,13.3,"2,050",38.1,"1,971",36.7,"1,173",21.8,160,3.0,20,0.4,"1,173",21.8,"2,439",45.4,"1,415",26.3,347,6.5,"3,508",65.3,"1,428",26.6,439,8.2,73,1.4,36,0.7,471,8.8,13,0.2,"3,656",68.0,28,0.5,897,16.7,770,14.3,23,0.4,660,10.6,"1,075",17.3,920,14.8,484,7.8,113,1.8,63,1.0,38,0.6,52,0.8,"1,603",25.8,485,7.8,"1,118",18.0,"4,608",74.2,"4,096",65.9,512,8.2
170,Walkden North,E05013034,"5,982",682,11.4,"2,022",33.8,"2,688",44.9,590,9.9,"1,625",27.2,"2,208",36.9,"1,902",31.8,230,3.8,15,0.3,"1,708",28.6,"2,793",46.7,"1,251",20.9,230,3.8,"3,702",61.9,"1,806",30.2,474,7.9,60,1.0,60,1.0,554,9.3,33,0.6,"2,968",49.6,62,1.0,"1,681",28.1,"1,256",21.0,15,0.3,604,9.7,654,10.5,"1,081",17.4,935,15.1,219,3.5,56,0.9,31,0.5,50,0.8,"1,600",25.8,456,7.4,"1,144",18.4,"4,603",74.2,"4,080",65.8,523,8.4
171,Walkden South,E05013035,"5,157",290,5.6,"1,464",28.4,"2,451",47.5,952,18.5,"2,066",40.1,"1,992",38.6,997,19.3,93,1.8,9,0.2,914,17.7,"2,365",45.9,"1,528",29.6,350,6.8,"3,519",68.2,"1,311",25.4,327,6.3,51,1.0,30,0.6,422,8.2,10,0.2,"3,610",70.0,27,0.5,627,12.2,886,17.2,5,0.1,357,6.1,516,8.8,980,16.7,857,14.6,178,3.0,57,1.0,36,0.6,41,0.7,"1,390",23.8,432,7.4,958,16.4,"4,462",76.2,"3,895",66.6,567,9.7
172,Weaste & Seedley,E05013036,"7,124",912,12.8,"2,832",39.8,"2,649",37.2,729,10.2,"1,452",20.4,"2,777",39.0,"2,510",35.2,333,4.7,52,0.7,"2,992",42.0,"3,066",43.0,902,12.7,163,2.3,"4,616",64.8,"1,982",27.8,526,7.4,144,2.0,94,1.3,643,9.0,26,0.4,"2,488",34.9,94,1.3,"2,009",28.2,"2,512",35.3,21,0.3,"1,371",17.5,"1,790",22.8,662,8.4,579,7.4,137,1.7,45,0.6,65,0.8,89,1.1,"2,158",27.5,722,9.2,"1,436",18.3,"5,692",72.5,"5,188",66.1,504,6.4
173,Worsley & Westwood Park,E05013037,"4,848",304,6.3,734,15.1,"2,596",53.5,"1,214",25.0,"2,262",46.7,"1,489",30.7,954,19.7,120,2.5,23,0.5,911,18.8,"2,000",41.3,"1,501",31.0,436,9.0,"3,329",68.7,"1,177",24.3,342,7.1,42,0.9,37,0.8,403,8.3,16,0.3,"3,418",70.5,10,0.2,806,16.6,606,12.5,8,0.2,373,6.7,873,15.8,837,15.1,518,9.3,105,1.9,67,1.2,54,1.0,54,1.0,"1,468",26.5,488,8.8,980,17.7,"4,074",73.5,"3,476",62.7,598,10.8
174,Ainsdale,E05000932,"5,515",337,6.1,860,15.6,"2,757",50.0,"1,562",28.3,"2,861",51.9,"1,649",29.9,916,16.6,78,1.4,11,0.2,951,17.2,"2,389",43.3,"1,674",30.4,501,9.1,"3,485",63.2,"1,544",28.0,486,8.8,38,0.7,37,0.7,354,6.4,16,0.3,"4,317",78.3,50,0.9,590,10.7,557,10.1,0,0.0,240,4.7,526,10.2,802,15.6,697,13.5,463,9.0,121,2.3,45,0.9,41,0.8,"1,760",34.2,631,12.2,"1,129",21.9,"3,393",65.8,"2,896",56.2,497,9.6
175,Birkdale,E05000933,"5,444",289,5.3,"1,126",20.7,"2,606",47.9,"1,423",26.1,"2,496",45.8,"1,887",34.7,982,18.0,70,1.3,9,0.2,940,17.3,"2,372",43.6,"1,590",29.2,543,10.0,"3,568",65.5,"1,497",27.5,379,7.0,67,1.2,23,0.4,432,7.9,17,0.3,"4,153",76.3,13,0.2,287,5.3,990,18.2,1,0.0,630,10.3,"1,146",18.7,318,5.2,594,9.7,516,8.4,117,1.9,52,0.8,50,0.8,"2,114",34.5,699,11.4,"1,415",23.1,"4,010",65.5,"3,471",56.7,539,8.8
176,Blundellsands,E05000934,"4,991",321,6.4,"1,280",25.6,"1,588",31.8,"1,802",36.1,"2,440",48.9,"1,731",34.7,760,15.2,56,1.1,4,0.1,902,18.1,"2,146",43.0,"1,497",30.0,446,8.9,"3,392",68.0,"1,311",26.3,287,5.8,69,1.4,18,0.4,289,5.8,11,0.2,"3,967",79.5,9,0.2,216,4.3,798,16.0,0,0.0,452,8.5,293,5.5,792,14.9,734,13.8,133,2.5,56,1.1,64,1.2,51,1.0,"1,574",29.5,526,9.9,"1,048",19.7,"3,756",70.5,"3,125",58.6,631,11.8
