ward,wardcode,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep
Norden (Rochdale),E05014044,"3,420",84.4,6,0.1,94,2.3,529,13.1,2,0.0
North Heywood,E05014045,"2,483",48.5,15,0.3,"1,341",26.2,"1,261",24.6,16,0.3
North Middleton,E05014046,"3,187",62.0,21,0.4,974,18.9,952,18.5,10,0.2
Smallbridge & Firgrove,E05014047,"2,121",45.0,38,0.8,"1,797",38.1,744,15.8,11,0.2
South Middleton,E05014048,"3,416",72.4,18,0.4,702,14.9,572,12.1,7,0.1
Spotland & Falinge,E05014049,"2,312",48.1,15,0.3,"1,483",30.8,967,20.1,31,0.6
"Wardle, Shore & West Littleborough",E05014050,"3,360",78.1,22,0.5,298,6.9,621,14.4,0,0.0
West Heywood,E05014051,"2,851",55.7,20,0.4,"1,506",29.4,739,14.4,6,0.1
West Middleton,E05014052,"2,009",47.1,24,0.6,"1,737",40.7,490,11.5,4,0.1
Barton & Winton,E05013018,"3,273",45.9,66,0.9,"2,267",31.8,"1,497",21.0,22,0.3
Blackfriars & Trinity,E05013019,"1,045",17.8,19,0.3,"1,090",18.5,"3,725",63.3,6,0.1
Boothstown & Ellenbrook,E05013020,"4,373",84.6,20,0.4,222,4.3,552,10.7,2,0.0
Broughton (Salford),E05013021,"1,307",21.0,42,0.7,"2,894",46.5,"1,953",31.4,31,0.5
Cadishead & Lower Irlam,E05013022,"3,335",63.8,11,0.2,"1,044",20.0,825,15.8,11,0.2
Claremont (Salford),E05013023,"3,731",67.6,44,0.8,746,13.5,987,17.9,11,0.2
