ward,wardcode,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p
Radcliffe East,E05014160,"1,281",26.3,"1,968",40.5,"1,416",29.1,178,3.7,21,0.4
Radcliffe North & Ainsworth,E05014161,"1,874",35.1,"1,905",35.7,"1,427",26.7,125,2.3,10,0.2
Radcliffe West,E05014162,"1,338",26.8,"1,894",37.9,"1,549",31.0,186,3.7,28,0.6
Ramsbottom,E05014163,"1,853",36.4,"2,067",40.6,"1,084",21.3,85,1.7,5,0.1
Redvales,E05014164,"1,123",24.6,"1,609",35.3,"1,514",33.2,246,5.4,71,1.6
Sedgley (Bury),E05014165,"1,627",36.7,"1,314",29.7,"1,213",27.4,222,5.0,52,1.2
St. Mary's (Bury),E05014166,"1,806",36.8,"1,727",35.2,"1,231",25.1,127,2.6,13,0.3
Tottington,E05014167,"1,712",40.5,"1,748",41.3,716,16.9,50,1.2,6,0.1
Unsworth,E05014168,"1,979",41.6,"1,581",33.2,"1,100",23.1,78,1.6,17,0.4
Cherryfield,E05010935,"1,588",34.4,"1,708",37.0,"1,150",24.9,156,3.4,20,0.4
Halewood North,E05010936,"1,812",41.1,"1,568",35.6,937,21.3,84,1.9,7,0.2
Halewood South,E05010937,"1,835",41.0,"1,471",32.9,"1,070",23.9,85,1.9,14,0.3
Northwood (Knowsley),E05010938,"1,431",28.4,"1,850",36.7,"1,551",30.8,189,3.7,21,0.4
Page Moss,E05010939,"1,808",36.2,"1,788",35.8,"1,225",24.5,155,3.1,22,0.4
Prescot North,E05010940,"1,701",34.8,"1,961",40.1,"1,132",23.1,91,1.9,7,0.1
Prescot South,E05010941,"1,661",39.2,"1,651",39.0,813,19.2,101,2.4,12,0.3
Roby,E05010942,"2,142",54.7,"1,227",31.3,501,12.8,44,1.1,4,0.1
Shevington,E05010943,"1,735",38.2,"1,752",38.5,909,20.0,134,2.9,16,0.4
St Gabriels,E05010944,"1,549",37.4,"1,488",35.9,991,23.9,107,2.6,12,0.3
St Michaels (Knowsley),E05010945,"1,445",36.1,"1,315",32.9,"1,099",27.5,128,3.2,13,0.3
Stockbridge,E05010946,"1,334",28.4,"1,904",40.5,"1,303",27.7,144,3.1,11,0.2
Swanside,E05010947,"1,904",49.3,"1,330",34.4,562,14.5,62,1.6,6,0.2
Whiston and Cronton,E05010948,"1,396",35.6,"1,473",37.5,933,23.8,108,2.8,15,0.4
Whitefield,E05010949,"1,485",34.5,"1,553",36.1,"1,141",26.5,110,2.6,10,0.2
