ward,wardcode,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p
Didsbury West,E05011363,564,5.9,988,10.4,"1,702",17.8,489,5.1,135,1.4,93,1.0,90,0.9,72,0.8
Fallowfield,E05011364,562,11.7,"1,060",22.1,694,14.5,268,5.6,83,1.7,42,0.9,58,1.2,135,2.8
Gorton & Abbey Hey,E05011365,770,9.8,"1,564",19.9,"1,734",22.1,775,9.9,102,1.3,58,0.7,71,0.9,127,1.6
Harpurhey,E05011366,923,12.8,"1,573",21.9,"1,253",17.4,712,9.9,98,1.4,41,0.6,67,0.9,132,1.8
Higher Blackley,E05011367,678,10.8,972,15.5,"1,415",22.6,622,10.0,90,1.4,43,0.7,57,0.9,84,1.3
Hulme,E05011368,"1,428",16.0,"1,205",13.5,806,9.0,571,6.4,149,1.7,75,0.8,111,1.2,165,1.9
Levenshulme,E05011369,668,8.4,"1,307",16.4,"1,311",16.5,533,6.7,88,1.1,50,0.6,84,1.1,85,1.1
Longsight,E05011370,901,12.9,"1,356",19.5,"1,154",16.6,654,9.4,114,1.6,60,0.9,69,1.0,96,1.4
Miles Platting & Newton Heath,E05011371,918,12.2,"1,775",23.7,"1,168",15.6,683,9.1,83,1.1,55,0.7,113,1.5,125,1.7
Moss Side (Manchester),E05011372,"1,257",17.7,"1,412",19.9,809,11.4,497,7.0,93,1.3,37,0.5,72,1.0,117,1.6
Moston,E05011373,780,9.9,"1,467",18.7,"1,561",19.9,837,10.7,74,0.9,73,0.9,77,1.0,122,1.6
Northenden,E05011374,668,10.4,"1,210",18.8,"1,251",19.5,420,6.5,106,1.7,39,0.6,49,0.8,64,1.0
Old Moat,E05011375,599,9.1,"1,110",16.8,"1,190",18.0,316,4.8,87,1.3,38,0.6,56,0.8,105,1.6
Piccadilly,E05011376,"1,262",16.7,554,7.3,504,6.7,524,6.9,94,1.2,65,0.9,56,0.7,91,1.2
Rusholme,E05011377,815,14.5,"1,066",19.0,652,11.6,395,7.0,83,1.5,57,1.0,69,1.2,128,2.3
Sharston,E05011378,988,13.8,"1,573",22.0,"1,032",14.5,671,9.4,124,1.7,22,0.3,36,0.5,81,1.1
Whalley Range,E05011379,661,8.6,"1,481",19.3,896,11.6,390,5.1,77,1.0,43,0.6,62,0.8,65,0.8
Withington,E05011380,551,8.7,"1,109",17.4,"1,136",17.9,321,5.0,81,1.3,52,0.8,55,0.9,119,1.9
Woodhouse Park,E05011381,"1,181",17.9,"1,413",21.5,858,13.0,659,10.0,117,1.8,20,0.3,45,0.7,78,1.2
Alexandra (Oldham),E05000719,610,14.2,943,22.0,637,14.8,430,10.0,111,2.6,58,1.4,40,0.9,56,1.3
Chadderton Central,E05000720,651,13.0,909,18.2,853,17.1,416,8.3,72,1.4,65,1.3,36,0.7,53,1.1
Chadderton North,E05000721,714,14.7,886,18.3,634,13.1,436,9.0,120,2.5,86,1.8,56,1.2,51,1.1
Chadderton South,E05000722,694,13.5,"1,047",20.3,873,16.9,442,8.6,81,1.6,56,1.1,38,0.7,35,0.7
Coldhurst,E05000723,"1,001",24.0,586,14.1,559,13.4,435,10.4,128,3.1,148,3.6,101,2.4,67,1.6
Crompton (Oldham),E05000724,482,10.4,959,20.6,671,14.4,489,10.5,147,3.2,42,0.9,36,0.8,45,1.0
Failsworth East,E05000725,522,10.4,840,16.7,929,18.5,445,8.9,61,1.2,35,0.7,31,0.6,36,0.7
Failsworth West,E05000726,498,9.7,765,14.9,"1,143",22.2,483,9.4,58,1.1,44,0.9,38,0.7,44,0.9
Hollinwood,E05000727,617,13.5,"1,094",23.9,688,15.0,420,9.2,78,1.7,44,1.0,34,0.7,53,1.2
Medlock Vale,E05000728,845,15.2,"1,135",20.4,787,14.2,591,10.6,110,2.0,53,1.0,55,1.0,49,0.9
Royton North,E05000729,464,10.1,"1,125",24.5,582,12.7,419,9.1,88,1.9,40,0.9,25,0.5,31,0.7
